Name,Symbol,Price Category,Performance Metric,Performance Value
Bitcoin,BTC,"> $10,000",1h,0.1
Ethereum,ETH,"$1,000-$10,000",1h,0.1
XRP,XRP,$1-$100,1h,0.3
Tether,USDT,< $1,1h,0.0
Solana,SOL,"$100-$1,000",1h,0.5
BNB,BNB,"$100-$1,000",1h,0.1
USDC,USDC,< $1,1h,0.0
Dogecoin,DOGE,< $1,1h,0.6
Cardano,ADA,< $1,1h,0.3
Lido Staked Ether,STETH,"$1,000-$10,000",1h,0.1
TRON,TRX,< $1,1h,0.3
Chainlink,LINK,$1-$100,1h,0.1
Avalanche,AVAX,$1-$100,1h,0.6
Wrapped stETH,WSTETH,"$1,000-$10,000",1h,0.1
Wrapped Bitcoin,WBTC,"> $10,000",1h,0.1
Stellar,XLM,< $1,1h,0.9
Hedera,HBAR,< $1,1h,1.1
Toncoin,TON,$1-$100,1h,0.3
Sui,SUI,$1-$100,1h,0.8
Shiba Inu,SHIB,< $1,1h,0.6
WETH,WETH,"$1,000-$10,000",1h,0.0
Polkadot,DOT,$1-$100,1h,0.7
Litecoin,LTC,"$100-$1,000",1h,0.7
LEO Token,LEO,$1-$100,1h,0.1
Bitget Token,BGB,$1-$100,1h,0.0
Bitcoin Cash,BCH,"$100-$1,000",1h,0.5
Hyperliquid,HYPE,$1-$100,1h,0.3
Uniswap,UNI,$1-$100,1h,0.6
USDS,USDS,< $1,1h,0.0
Wrapped eETH,WEETH,"$1,000-$10,000",1h,0.1
Pepe,PEPE,< $1,1h,0.8
NEAR Protocol,NEAR,$1-$100,1h,0.7
Official Trump,TRUMP,$1-$100,1h,0.6
Ethena USDe,USDE,< $1,1h,0.0
Aave,AAVE,"$100-$1,000",1h,0.0
Aptos,APT,$1-$100,1h,0.4
Ondo,ONDO,$1-$100,1h,1.5
Internet Computer,ICP,$1-$100,1h,0.7
MANTRA,OM,$1-$100,1h,0.8
WhiteBIT Coin,WBT,$1-$100,1h,0.0
Monero,XMR,"$100-$1,000",1h,0.2
Ethereum Classic,ETC,$1-$100,1h,0.6
Mantle,MNT,$1-$100,1h,0.6
VeChain,VET,< $1,1h,0.7
Cronos,CRO,< $1,1h,0.6
POL (ex-MATIC),POL,< $1,1h,0.5
Bittensor,TAO,"$100-$1,000",1h,0.5
Render,RENDER,$1-$100,1h,0.8
Dai,DAI,< $1,1h,0.0
Kaspa,KAS,< $1,1h,0.4
Algorand,ALGO,< $1,1h,0.7
OKB,OKB,$1-$100,1h,0.1
Gate,GT,$1-$100,1h,0.5
Artificial Superintelligence Alliance,FET,$1-$100,1h,0.4
Filecoin,FIL,$1-$100,1h,0.3
Arbitrum,ARB,< $1,1h,0.5
Cosmos Hub,ATOM,$1-$100,1h,0.0
Jupiter,JUP,$1-$100,1h,4.0
Ethena,ENA,< $1,1h,0.8
Tokenize Xchange,TKX,$1-$100,1h,1.6
Coinbase Wrapped BTC,CBBTC,"> $10,000",1h,0.0
Virtuals Protocol,VIRTUAL,$1-$100,1h,2.2
Celestia,TIA,$1-$100,1h,0.6
Raydium,RAY,$1-$100,1h,0.9
Bonk,BONK,< $1,1h,0.7
Optimism,OP,$1-$100,1h,0.7
Immutable,IMX,$1-$100,1h,0.4
Stacks,STX,$1-$100,1h,0.8
Injective,INJ,$1-$100,1h,0.9
Binance-Peg WETH,WETH,"$1,000-$10,000",1h,0.2
Theta Network,THETA,$1-$100,1h,0.8
Binance Staked SOL,BNSOL,"$100-$1,000",1h,0.5
Worldcoin,WLD,$1-$100,1h,1.3
Lido DAO,LDO,$1-$100,1h,0.0
Lombard Staked BTC,LBTC,"> $10,000",1h,0.2
Kelp DAO Restaked ETH,RSETH,"$1,000-$10,000",1h,0.0
First Digital USD,FDUSD,< $1,1h,0.1
The Graph,GRT,< $1,1h,0.2
Sonic (prev. FTM),S,< $1,1h,0.8
Rocket Pool ETH,RETH,"$1,000-$10,000",1h,0.0
Fasttoken,FTN,$1-$100,1h,0.0
XDC Network,XDC,< $1,1h,0.2
KuCoin,KCS,$1-$100,1h,0.1
Pudgy Penguins,PENGU,< $1,1h,1.5
Movement,MOVE,< $1,1h,1.3
Sei,SEI,< $1,1h,0.3
Mantle Staked Ether,METH,"$1,000-$10,000",1h,0.1
Quant,QNT,"$100-$1,000",1h,1.0
sUSDS,SUSDS,$1-$100,1h,0.0
Flare,FLR,< $1,1h,0.7
Onyxcoin,XCN,< $1,1h,2.4
NEXO,NEXO,$1-$100,1h,0.0
Solv Protocol SolvBTC,SOLVBTC,"> $10,000",1h,0.3
GALA,GALA,< $1,1h,0.7
Marinade Staked SOL,MSOL,"$100-$1,000",1h,0.7
The Sandbox,SAND,< $1,1h,0.8
JasmyCoin,JASMY,< $1,1h,1.4
FLOKI,FLOKI,< $1,1h,0.5
dogwifhat,WIF,$1-$100,1h,1.0
Fartcoin,FARTCOIN,$1-$100,1h,5.3
Usual USD,USD0,< $1,1h,0.1
EOS,EOS,< $1,1h,1.1
Kaia,KAIA,< $1,1h,0.3
