Name,Symbol,Price,1h,24h,7d,24h Volume,Market Cap,Volume to Market Cap Ratio,Price Category
Bitcoin,BTC,104897.0,0.1,0.0,0.3,18640938529.0,2078569617305,0.008968156935329971,"> $10,000"
Ethereum,ETH,3310.09,0.1,0.9,1.8,10941559181.0,398998724651,0.027422541740128287,"$1,000-$10,000"
XRP,XRP,3.11,0.3,0.8,0.9,2628302585.0,179249300675,0.014662833132975067,$1-$100
Tether,USDT,0.9999,0.0,0.0,0.1,24890908835.0,139312828676,0.17866917979885982,< $1
Solana,SOL,254.52,0.5,0.2,5.6,4623768555.0,123847777784,0.03733428760477403,"$100-$1,000"
BNB,BNB,683.91,0.1,0.6,1.6,454039625.0,99790167931,0.004549943490564583,"$100-$1,000"
USDC,USDC,1.0,0.0,0.0,0.0,6729745714.0,52176319159,0.12898084461443218,< $1
Dogecoin,DOGE,0.3504,0.6,1.9,9.5,1060136855.0,51785056200,0.02047186838816253,< $1
Cardano,ADA,0.9893,0.3,0.0,7.4,480083098.0,35529939523,0.013512071915833753,< $1
Lido Staked Ether,STETH,3305.83,0.1,0.9,1.7,34803218.0,31585283642,0.0011018808124211683,"$1,000-$10,000"
TRON,TRX,0.2511,0.3,1.6,4.2,444496494.0,21624233594,0.02055547966903821,< $1
Chainlink,LINK,25.31,0.1,0.1,0.9,542120366.0,16165796428,0.03353502367882224,$1-$100
Avalanche,AVAX,37.34,0.6,1.7,2.8,524476189.0,15381861810,0.03409705505604201,$1-$100
Wrapped stETH,WSTETH,3942.33,0.1,0.0,0.3,50705246.0,13626669261,0.0037210300645602497,"$1,000-$10,000"
Wrapped Bitcoin,WBTC,104723.0,0.1,0.1,0.9,182192921.0,13514519255,0.01348127281202353,"> $10,000"
Stellar,XLM,0.4215,0.9,0.3,8.5,219658107.0,12889319893,0.017041869456533007,< $1
Hedera,HBAR,0.3333,1.1,0.3,3.3,506416762.0,12755790982,0.03970092977492472,< $1
Toncoin,TON,5.04,0.3,1.1,1.7,101970538.0,12534170049,0.00813540406755016,$1-$100
Sui,SUI,4.11,0.8,1.6,15.5,618132381.0,12374822268,0.049950808796537294,$1-$100
Shiba Inu,SHIB,1.983e-05,0.6,1.7,8.2,149983009.0,11693043024,0.012826687517711129,< $1
WETH,WETH,3312.57,0.0,0.8,1.6,526903858.0,9949025570,0.05296034815598529,"$1,000-$10,000"
Polkadot,DOT,6.33,0.7,1.0,6.8,135736491.0,9641190536,0.014078810131711725,$1-$100
Litecoin,LTC,121.8,0.7,5.1,1.3,728546719.0,9197664893,0.07920996551575496,"$100-$1,000"
LEO Token,LEO,9.78,0.1,0.0,1.4,244032.0,9038592749,2.6998893165863556e-05,$1-$100
Bitget Token,BGB,7.39,0.0,2.4,6.4,459682232.0,8860365688,0.051880729101572945,$1-$100
Bitcoin Cash,BCH,435.26,0.5,2.3,5.4,150405688.0,8634529682,0.017419094442809514,"$100-$1,000"
Hyperliquid,HYPE,23.62,0.3,1.4,8.5,100613223.0,7888751181,0.012754011464111863,$1-$100
Uniswap,UNI,11.93,0.6,3.0,15.8,254742412.0,7170181944,0.03552802620485358,$1-$100
USDS,USDS,1.0,0.0,0.1,0.0,16867154.0,6723242460,0.0025087826447359744,< $1
Wrapped eETH,WEETH,3502.29,0.1,0.8,1.9,6725914.0,6567842989,0.0010240674162376813,"$1,000-$10,000"
Pepe,PEPE,1.483e-05,0.8,3.3,13.7,475337593.0,6249448389,0.0760607278294622,< $1
NEAR Protocol,NEAR,4.97,0.7,0.1,7.8,189584560.0,5859645039,0.032354273806379626,$1-$100
Official Trump,TRUMP,28.87,0.6,5.8,52.0,3886969833.0,5791766587,0.6711199035065671,$1-$100
