Coin,Price,1h,24h,7d,24h Volume,Market Cap
"Bitcoin
BTC",104897.0,0.1,0.0,0.3,18640938529.0,2078569617305
"Ethereum
ETH",3310.09,0.1,0.9,1.8,10941559181.0,398998724651
"XRP
XRP",3.11,0.3,0.8,0.9,2628302585.0,179249300675
"Tether
USDT",0.9999,0.0,0.0,0.1,24890908835.0,139312828676
"Solana
SOL",254.52,0.5,0.2,5.6,4623768555.0,123847777784
"BNB
BNB",683.91,0.1,0.6,1.6,454039625.0,99790167931
"USDC
USDC",1.0,0.0,0.0,0.0,6729745714.0,52176319159
"Dogecoin
DOGE",0.3504,0.6,1.9,9.5,1060136855.0,51785056200
"Cardano
ADA",0.9893,0.3,0.0,7.4,480083098.0,35529939523
"Lido Staked Ether
STETH",3305.83,0.1,0.9,1.7,34803218.0,31585283642
"TRON
TRX",0.2511,0.3,1.6,4.2,444496494.0,21624233594
"Chainlink
LINK",25.31,0.1,0.1,0.9,542120366.0,16165796428
"Avalanche
AVAX",37.34,0.6,1.7,2.8,524476189.0,15381861810
"Wrapped stETH
WSTETH",3942.33,0.1,0.0,0.3,50705246.0,13626669261
"Wrapped Bitcoin
WBTC",104723.0,0.1,0.1,0.9,182192921.0,13514519255
"Stellar
XLM",0.4215,0.9,0.3,8.5,219658107.0,12889319893
"Hedera
HBAR",0.3333,1.1,0.3,3.3,506416762.0,12755790982
"Toncoin
TON",5.04,0.3,1.1,1.7,101970538.0,12534170049
"Sui
SUI",4.11,0.8,1.6,15.5,618132381.0,12374822268
"Shiba Inu
SHIB",1.983e-05,0.6,1.7,8.2,149983009.0,11693043024
"WETH
WETH",3312.57,0.0,0.8,1.6,526903858.0,9949025570
"Polkadot
DOT",6.33,0.7,1.0,6.8,135736491.0,9641190536
"Litecoin
LTC",121.8,0.7,5.1,1.3,728546719.0,9197664893
"LEO Token
LEO",9.78,0.1,0.0,1.4,244032.0,9038592749
"Bitget Token
BGB",7.39,0.0,2.4,6.4,459682232.0,8860365688
"Bitcoin Cash
BCH",435.26,0.5,2.3,5.4,150405688.0,8634529682
"Hyperliquid
HYPE",23.62,0.3,1.4,8.5,100613223.0,7888751181
"Uniswap
UNI",11.93,0.6,3.0,15.8,254742412.0,7170181944
"USDS
USDS",1.0,0.0,0.1,0.0,16867154.0,6723242460
"Wrapped eETH
WEETH",3502.29,0.1,0.8,1.9,6725914.0,6567842989
"Pepe
PEPE",1.483e-05,0.8,3.3,13.7,475337593.0,6249448389
"NEAR Protocol
NEAR",4.97,0.7,0.1,7.8,189584560.0,5859645039
"Official Trump
TRUMP",28.87,0.6,5.8,52.0,3886969833.0,5791766587
"Ethena USDe
USDE",1.0,0.0,0.0,0.3,45856707.0,5767521745
"Aave
AAVE",328.58,0.0,2.0,0.3,348656981.0,4948529144
"Aptos
APT",8.17,0.4,0.3,12.3,132159494.0,4681433690
"Ondo
ONDO",1.43,1.5,0.6,1.6,368608017.0,4508634529
"Internet Computer
ICP",9.09,0.7,1.4,15.3,135653524.0,4367906517
"MANTRA
OM",4.5,0.8,27.8,16.9,677552907.0,4307888512
"WhiteBIT Coin
WBT",28.42,0.0,0.1,4.6,7072674.0,4095852258
"Monero
XMR",220.15,0.2,0.3,3.4,41125734.0,4060211009
"Ethereum Classic
ETC",26.76,0.6,1.8,1.8,89159918.0,4031260924
"Mantle
MNT",1.18,0.6,2.4,14.1,57004661.0,3959513475
"VeChain
VET",0.04708,0.7,2.6,6.5,69862814.0,3820978237
"Cronos
CRO",0.1387,0.6,0.2,0.8,14834973.0,3781091543
"POL (ex-MATIC)
POL",0.4346,0.5,0.5,9.7,92374164.0,3684288235
"Bittensor
TAO",445.85,0.5,16.5,5.0,225111068.0,3634473351
"Render
RENDER",6.92,0.8,1.0,5.3,97668693.0,3587941478
"Dai
DAI",1.0,0.0,0.0,0.1,156458831.0,3582203026
"Kaspa
KAS",0.1319,0.4,1.7,0.4,39581914.0,3378829357
"Algorand
ALGO",0.3982,0.7,0.9,7.5,134601762.0,3342707933
"OKB
OKB",54.69,0.1,0.2,6.0,8111853.0,3281452938
"Gate
GT",25.25,0.5,0.0,25.0,28238257.0,3172008900
"Artificial Superintelligence Alliance
FET",1.21,0.4,0.4,4.4,137154235.0,3151057389
"Filecoin
FIL",5.02,0.3,0.8,6.9,134798507.0,3130956827
"Arbitrum
ARB",0.7032,0.5,0.2,8.7,148563499.0,3056982374
"Cosmos Hub
ATOM",6.2,0.0,0.9,3.8,121436109.0,2687069249
"Jupiter
JUP",1.24,4.0,26.5,17.9,1514922165.0,2676953085
"Ethena
ENA",0.8287,0.8,4.0,8.3,333967921.0,2513563215
"Tokenize Xchange
TKX",31.0,1.6,2.8,8.9,21297444.0,2479576147
"Coinbase Wrapped BTC
CBBTC",104943.0,0.0,0.0,0.6,179476166.0,2436880385
"Virtuals Protocol
VIRTUAL",2.4,2.2,7.2,17.5,175644144.0,2403446379
"Celestia
TIA",4.57,0.6,1.2,5.4,54460124.0,2305858731
"Raydium
RAY",7.73,0.9,1.1,15.0,122141634.0,2250800418
"Bonk
BONK",2.894e-05,0.7,4.2,13.7,138172258.0,2218936523
"Optimism
OP",1.62,0.7,4.1,13.1,136734200.0,2187478039
"Immutable
IMX",1.23,0.4,0.3,4.7,33039079.0,2143373744
"Stacks
STX",1.39,0.8,0.8,8.7,23705663.0,2101238021
"Injective
INJ",20.93,0.9,0.3,8.5,81089843.0,2048424786
"Binance-Peg WETH
WETH",3307.83,0.2,1.0,1.7,34778096.0,2001966837
"Theta Network
THETA",2.0,0.8,0.4,8.2,13879361.0,2000012547
"Binance Staked SOL
BNSOL",261.6,0.5,0.3,5.3,9767584.0,1984565194
"Worldcoin
WLD",2.07,1.3,4.5,2.0,188145842.0,1971781724
"Lido DAO
LDO",2.16,0.0,7.5,22.7,240152892.0,1935325548
"Lombard Staked BTC
LBTC",105005.0,0.2,0.0,0.6,8304088.0,1879537022
"Kelp DAO Restaked ETH
RSETH",3422.9,0.0,0.9,1.5,1815469.0,1860099008
"First Digital USD
FDUSD",0.9995,0.1,0.1,0.3,3024109611.0,1836678426
"The Graph
GRT",0.1884,0.2,1.3,11.7,76086331.0,1800478968
"Sonic (prev. FTM)
S",0.5365,0.8,1.1,14.0,105107147.0,1703505431
"Rocket Pool ETH
RETH",3702.96,0.0,0.9,1.5,15233679.0,1688201255
"Fasttoken
FTN",3.91,0.0,0.0,2.3,52992168.0,1674143937
"XDC Network
XDC",0.1063,0.2,5.2,19.9,51298585.0,1667226745
"KuCoin
KCS",13.36,0.1,2.1,21.9,94065.06,1641236283
"Pudgy Penguins
PENGU",0.02581,1.5,14.7,9.3,277637454.0,1620959417
"Movement
MOVE",0.6992,1.3,1.7,8.9,107339341.0,1609166357
"Sei
SEI",0.353,0.3,1.7,6.5,75907788.0,1566191924
"Mantle Staked Ether
METH",3490.56,0.1,1.0,1.3,15885559.0,1547638502
"Quant
QNT",105.89,1.0,4.1,5.2,36377082.0,1540831050
"sUSDS
SUSDS",1.03,0.0,0.1,0.6,1832867.0,1524118310
"Flare
FLR",0.0259,0.7,2.1,8.0,9308050.0,1482712954
"Onyxcoin
XCN",0.04572,2.4,70.9,347.1,1275045204.0,1455684239
"NEXO
NEXO",1.44,0.0,0.2,3.4,9778686.0,1436235003
"Solv Protocol SolvBTC
SOLVBTC",104412.0,0.3,0.0,0.2,9715408.0,1407607969
"GALA
GALA",0.0325,0.7,0.6,11.7,70239019.0,1385056673
"Marinade Staked SOL
MSOL",320.01,0.7,0.3,5.3,29644040.0,1369044679
"The Sandbox
SAND",0.5537,0.8,1.0,9.0,56792841.0,1358989022
"JasmyCoin
JASMY",0.02801,1.4,2.0,6.3,82376600.0,1358200557
"FLOKI
FLOKI",0.000137,0.5,1.3,12.9,136756565.0,1325388708
"dogwifhat
WIF",1.28,1.0,2.9,21.2,167055884.0,1279175650
"Fartcoin
FARTCOIN",1.28,5.3,1.2,38.1,194292729.0,1277482659
"Usual USD
USD0",0.9981,0.1,0.1,0.2,18557693.0,1232871900
"EOS
EOS",0.7954,1.1,1.6,9.3,111553925.0,1206572289
"Kaia
KAIA",0.2051,0.3,1.6,8.6,10420076.0,1200952120
"Tezos
XTZ",1.16,0.8,1.1,11.2,29016587.0,1189542490
"IOTA
IOTA",0.3266,1.2,0.1,8.3,22390929.0,1179796926
"Pyth Network
PYTH",0.3205,0.8,0.4,7.4,47245336.0,1162028162
"DeXe
DEXE",20.04,0.7,3.5,13.0,25783531.0,1144359698
"Ethereum Name Service
ENS",33.86,0.6,2.2,6.3,51706543.0,1123470838
